name	area_name	address
Plåtslagaregatan 9 förskola	Lundby	
Polstjärnan	Centrum område 1	
PO Rimsmedsgatan 1H	Pedagogisk omsorg	
Prästgårdsängen 2-6 förskola	Örgryte-Härlanda	
Prästgårdsgatan 44B.pdf	Centrum område 1	
Prästkragen Montessoriförskola	Fristående förskolor	
Prästkragen Montessoriförskola.pdf	Fristående förskolor	
Prästkragens Montessoriförskola	Fristående förskolor	
Preschool 1	Fristående förskolor	
Pricken	Centrum område 2	
Prisman	Västra Göteborg område 1	
Prusiluskan	Östra Göteborg område 1	
Prussiluskan	Centrum område 2	
Pysslingen	Västra Göteborg område 2	
Rådjuret	Östra Göteborg område 1	
Räkan	Västra Göteborg område 1	
Rälsen	Västra Göteborg område 1	
Ramnebacken 4 A förskola	Angered	
Räntmästaregatan.pdf	Fristående förskolor	
Rapport_Göteborg	Övergripande Göteborg	
Rävlyan	Östra Göteborg område 1	
Regnbågen	Centrum område 1	
Regnbågen 2	Hisingen område 2	
Regnbågen Röd	Hisingen område 2	
Regndroppen	Östra Göteborg område 1	
Resultat efter stadsdelsförvaltning	Kommunala	
Resultat per förskola	Fristående förskolor	
Resultat per stadsdelsnämnd och förskola	Kommunala förskolor	
Resultat presenterat per förskola.pdf	Pilottest av ny enkät i Askim-Frölunda-Högsbo	
Resultat samtliga förskolor.pdf	Pilottest av ny enkät i Askim-Frölunda-Högsbo	
Resultat totalt	Fristående förskolor	
Resultat totalt Göteborg	Kommunala förskolor	
Rigel	Hisingen område 2	
Rimmaregatan 7 specialförskola	Norra Hisingen	
Robotapan	Centrum område 2	
Röda Rockringen	Östra Göteborg område 1	
Röda Stråket 10 förskola.pdf	Centrum område 2	
Röda Stråket 10.pdf	Centrum område 2	
Röda Studsbollen	Östra Göteborg område 1	
Röd grupp 2	Hisingen område 1	
Rödmaneten	Västra Göteborg område 2	
Rödmyran	Västra Göteborg område 1	
Rosa Draken	Centrum område 2	
Rosenapelgatan 22 förskola	Hisingen område 3	
Rosenapelgatan 22 förskola.pdf	Hisingen område 3	
RosenSolen	Fristående förskolor	
Runskriftsgatan 6-8 förskola	Västra Hisingen	
Rutan	Hisingen område 2	
Rymdraketen	Centrum område 1	
Saffransgatan 8 förskola	Angered	
Safiren	Östra Göteborg område 1	
Sagan	Västra Göteborg område 1	
Sagolika	Hisingen område 1	
Sagolunden.pdf	Fristående förskolor	
Sagoslottet	Centrum område 2	
Sagostranden	Västra Göteborg område 2	
Sälgen	Hisingen område 1	
Saltkråkan förskola	Fristående verksamheter	
Saltpärlan	Östra Göteborg område 1	
Sanatoriegatan 90 förskola	Örgryte-Härlanda	
Sandslottet	Östra Göteborg område 2	
Sandvargen	Centrum område 2	
Sankt Pauli.pdf	Fristående förskolor	
Seglet	Västra Göteborg område 1	
Seminariegatan 7 förskola	Centrum område 2	
Seminariegatan 7 förskola.pdf	Centrum område 2	
Seminariegatan 7.pdf	Centrum område 2	
senapskornet	Fristående förskolor	
Senapskornet	Fristående förskolor	
Silverpärlan	Centrum område 1	
Sjöhästarna	Hisingen område 2	
Sjöormens framtid	Fristående förskolor	
Sjöormens Framtid förskola	Fristående verksamheter	
Sjöstjärnan	Västra Göteborg område 2	
Sjupundsgatan 10 förskola	Askim-Frölunda-Högsbo	
Skalman	Östra Göteborg område 2	
Skarven	Västra Göteborg område 2	
Skatten	Östra Göteborg område 1	
Skattkammaren	Västra Göteborg område 1	
Skattkammarens förskola	Fristående förskolor	
Skeppsskorpornas föräldrakooperativ	Fristående förskolor	
Skeppsskorpornas Föräldrakooperativ	Fristående förskolor	
Skeppsskorpornas föräldrakooperativ.pdf	Fristående förskolor	
Skiffer	Hisingen område 2	
Skogsmyran	Östra Göteborg område 1	
Sköldpaddan	Västra Göteborg område 1	
Skrållan	Västra Göteborg område 2	
SK_Senapskornet	Fristående verksamheter	
Skutan	Hisingen område 2	
Sländan	Västra Göteborg område 1	
Slottsskogsgatan 90 förskola	Centrum område 2	
Slottsskogsgatan 90 förskola.pdf	Centrum område 2	
Slottsskogsgatan 90.pdf	Centrum område 2	
Småfröna	Fristående förskolor	
Småfröna.pdf	Fristående förskolor	
Smaragden	Centrum område 2	
Smaragdgatan 28 förskola	Sydväst område 2	
Smaragdgatan 28 förskola.pdf	Sydväst område 2	
Smaragdgatan 28.pdf	Sydväst område 2	
Småtrollen	Fristående förskolor	
Småtrollen.pdf	Fristående förskolor	
Småtrollens föräldrakooperativ	Fristående förskolor	
Smithska Vägen 14B.pdf	Sydväst område 2	
Smörblomman	Centrum område 1	
Smörslätten 1 förskola.pdf	Centrum område 1	
Smörslätten 1.pdf	Centrum område 1	
Smörslottsgatan 69 förskola	Örgryte-Härlanda	
Smulan	Västra Göteborg område 1	
Snäckan Pärlan	Västra Göteborg område 1	
Snickaren	Västra Göteborg område 1	
Snickerboa	Västra Göteborg område 2	
Snigeln	Hisingen område 2	
Sniglarna	Västra Göteborg område 2	
Snoan	Västra Göteborg område 1	
Snödroppen	Västra Göteborg område 2	
Snöskatan	Centrum område 2	
Snusmumriken	Västra Göteborg område 1	
Söderhavet	Västra Göteborg område 2	
Sökarna	Västra Göteborg område 1	
Solen 1	Västra Göteborg område 2	
Solfångaren	Centrum område 2	
Solgläntans waldorfförskola.pdf	Fristående förskolor	
Solgläntans Waldorfförskola.pdf	Fristående förskolor	
Soli	Hisingen område 2	
Solöga förskola	Fristående verksamheter	
Solrosens förskola Kortedala	Fristående förskolor	
Solrosens förskola Kortedala.pdf	Fristående förskolor	
Solrosens förskola Redberg	Fristående förskolor	
Solrosens förskola Redberg.pdf	Fristående förskolor	
Solstenen	Östra Göteborg område 1	
Solstrålarna grön	Hisingen område 1	
Solstrålen	Hisingen område 1	
Solstrålen 2	Östra Göteborg område 2	
Solvädersgatan 60	Hisingen område 2	
Solvädersgatan 60 förskola	Västra Hisingen	
Solvädersgatan 60.pdf	Hisingen område 2	
Solveigs förskolor AB Flygledarvägen	Fristående förskolor	
Solveigs förskolor AB Räntmästaregatan	Fristående förskolor	
Solveigs förskolor AB Torkelsgatan	Fristående förskolor	
Solventilsgatan 1 förskola	Lundby	
Sommarsol	Östra Göteborg område 1	
Sommarvädersgatan 8 Dygnet runt förskola	Hisingen 1	
Spekebergsgatan 3 förskola.pdf	Centrum område 2	
Spekebergsgatan 3.pdf	Centrum område 2	
Spica	Hisingen område 2	
Spiran	Västra Göteborg område 1	
Spiran 2	Östra Göteborg område 2	
Stackmyran	Östra Göteborg område 1	
Stella	Östra Göteborg område 1	
Stiftelsen Teresias Katolska Montessoriförskolan	Fristående förskolor	
Stiftelsen Teresias Katolska Montessoriförskolan.pdf	Fristående förskolor	
Stjärnan Grupp 1	Hisingen område 2	
Stjärnbildsgatan 2 och Merkuriusgatan 75 förskola	Östra Göteborg	
Stjärnfallet	Östra Göteborg område 1	
Stjärnor	Fristående verksamheter	
Styrbord	Västra Göteborg område 1	
Styrbords hemvist	Centrum område 2	
Styrmansgatan 21 A förskola	Centrum område 2	
Styrmansgatan 21 A förskola.pdf	Centrum område 2	
Styrmansgatan 21A.pdf	Centrum område 2	
Sunnanäng	Västra Göteborg område 2	
Svalan	Västra Göteborg område 1	
Svalebogatan 52B.pdf	Centrum område 2	
Svantes	Västra Göteborg område 1	
Sveagatans förskola	Centrum område 1	
Svenska Kyrkans förskola Duvan	Fristående förskolor	
Svenska Kyrkans förskola Fisken	Fristående förskolor	
Svenska Kyrkans förskola Lammet	Fristående förskolor	
Svenska Kyrkans förskola Tufvan	Fristående förskolor	
Syster Ainas Gata 2 förskola	Centrum område 1	
Syster Ainas Gata 2 förskola.pdf	Centrum område 1	
Syster Ainas Gata 2.pdf	Centrum område 1	
Talattan	Fristående förskolor	
Talattan daghemsförening	Fristående förskolor	
Tallen	Hisingen område 1	
Tallkotten	Fristående förskolor	
Taltrasten	Centrum område 1	
Tärnan	Hisingen område 2	
Teddybjörnen	Östra Göteborg område 2	
Terra	Centrum område 1	
testPDF.pdf	Centrum område 1	
The English School Gothenburg.pdf	Fristående förskolor	
The English School in Gothe	Fristående verksamheter	
The International Preschool  Älvsborg	Fristående förskolor	
The International Preschool  Biskopsgården	Fristående förskolor	
The International Preschool  Guldheden	Fristående förskolor	
The International Preschool  Majorna	Fristående förskolor	
theresias katolska montessori förskola	Fristående förskolor	
Theresias katolska Montessoriförskola	Fristående förskolor	
Tideräkningsgatan 4C.pdf	Nordost område 2	
Tigeröga	Östra Göteborg område 1	
Timjan	Centrum område 1	
Timjansgatan 52 förskola	Angered	
Timotej	Centrum område 1	
Tindra Lek  Lärande	Fristående förskolor	
Tindra Lek  Lärande.pdf	Fristående förskolor	
Titteridammsstigen 2 förskola	Angered	
Titteridammsstigen 2.pdf	Nordost område 2	
TODDLING TURTLES	Fristående förskolor	
Tomtebo	Östra Göteborg område 2	
Topasgatan 58-59 förskola	Västra Göteborg	
Toredalsgatan 76 B förskola	Hisingen område 1	
Torkelsgatan.pdf	Fristående förskolor	
Torpagatan 38 förskola.pdf	Centrum område 1	
Torpagatan 38.pdf	Centrum område 1	
Trädet Montessori	Fristående förskolor	
Trädets förskola	Fristående förskolor	
Trädgårdsmyran	Östra Göteborg område 1	
Trollet	Östra Göteborg område 1	
Trollflöjten	Östra Göteborg område 1	
Trollskogen	Centrum område 2	
Trollsländan	Centrum område 1	
Trombonen	Västra Göteborg område 2	
Trossens hemvist	Centrum område 2	
Trullen	Västra Göteborg område 1	
Trumman	Centrum område 2	
Tryggheten	Hisingen område 2	
Tryggheten Blå	Västra Göteborg område 1	
Tryggheten Rosa	Västra Göteborg område 1	
Tusenfotingen	Hisingen område 2	
Tynneredskyrkans förskola	Fristående verksamheter	
Ugglan	Västra Göteborg område 1	
Ugglorna	Fristående förskolor	
Underbara	Hisingen område 1	
Unika	Hisingen område 1	
Uppfinnarna	Västra Göteborg område 1	
Uppfinnarna Rosa	Västra Göteborg område 2	
Upptäckarna	Västra Göteborg område 2	
Upptäckarna Blå	Hisingen område 1	
Upptäckarna Gul	Hisingen område 1	
Upptäckten	Västra Göteborg område 1	
Utbyvägen 50 förskola.pdf	Nordost område 1	
Utbyvägen 50.pdf	Nordost område 1	
Utforskarna	Västra Göteborg område 2	
Utforskarna Gul	Hisingen område 1	
Utmaningen	Västra Göteborg område 1	
Väderbodarna 1B förskola	Hisingen område 1	
Väderbodarna 1B förskola.pdf	Hisingen område 1	
Väderbodarna 1B.pdf	Hisingen område 1	
Väderkvarnen	Centrum område 2	
Vallmon	Östra Göteborg område 1	
Varnhemsgatan 2.pdf	Nordost område 1	
Vatten3	Västra Göteborg område 2	
Vattendroppen	Östra Göteborg område 1	
Vatten Droppen	Hisingen område 1	
Vattenfallet	Centrum område 1	
Vatten Flingan 1	Hisingen område 1	
Vattenhjulet	Centrum område 2	
Vattnet	Fristående förskolor	
Vidkärrs Montessoriförskola.pdf	Fristående förskolor	
Viggen	Hisingen område 2	
Viljan	Centrum område 2	
Viljan Gul	Västra Göteborg område 1	
Viljan Röd	Västra Göteborg område 1	
Villavillerkulla	Centrum område 2	
Villa Villerkulla	Västra Göteborg område 2	
Villekulla	Centrum område 1	
Villerkulla	Centrum område 1	
Vind	Hisingen område 2	
Vinden	Fristående förskolor	
Vinlandsgatan 9K förskola.pdf	Hisingen område 1	
Vinlandsgatan 9K.pdf	Hisingen område 1	
Vintergatan Blå	Östra Göteborg område 1	
Vintergatan Lila	Östra Göteborg område 1	
Vintergatan Röd	Östra Göteborg område 1	
Vintermånen	Östra Göteborg område 1	
Violen	Centrum område 2	
Virvelvinden	Östra Göteborg område 1	
Visslan	Västra Göteborg område 1	
Wieselgrensgatan 11 A förskola	Hisingen 3	
Wieselgrensgatan 11 A förskola.pdf	Hisingen område 3	
Wieselgrensgatan 11 A.pdf	Hisingen område 3	
Ylle förskolan	Fristående verksamheter	
Zebran	Centrum område 2	
